Store_ID,Store_Name,Brand_Name,Store_Type,City,City_Tier,Product_Name,Category,Sub_Category,Product_Stage,Quantity_Available,Units_Sold,Unit_Price,Cost_Price,Revenue,Profit_Margin,Average_Order_Value,Inventory_Turnover,Days_of_Stock,Customer_Segment,Sales_Channel,Payment_Method,Supplier,Supplier_Rating,Promotion_Type,Promotion_Impact,Max_Discount_Offered,Return_Rate,Return_Reason,Customer_Satisfaction,Online_Rating,Review_Count,Sales_Rep_Experience,Sales_Rep_Rating,Market_Share,Competition_Level,Competitor_Count,Brand_Loyalty,Brand_Awareness,Price_Competitiveness,Weather_Impact,Delivery_Time,Shipping_Cost,Month,Year,Quarter,Season
Bx_Mumbai_094,Brandx_India Trends Mumbai,Brandx_India,Mall Store,Mumbai,Metro,Nike Air Max,Clothes,Shoes,New Launch,119.0,42.0,7594,6307,318948.0,16.95,11376,4.24,85,Luxury,Brandx_India Store,Wallet,Brandx_India Brand Partners,Nan,Flash Sale,38.5,10,0.8,Poor Quality,4.4,4.6,383,8,4.5,12.6,Very High,20,78.8,81.5,Aggressive,Medium,3.0,52.0,1,2022,Q1,Spring
Bx_Delhi_088,Brandx_India Superstore Delhi,Brandx_India,Street Store,Delhi,Metro,Olive Oil 500Ml,Groceries,Oil,Discontinued,249.0,68.0,377,296,25636.0,21.49,537,3.28,110,Mid-Range,Brandx_India Phone Order,Credit,Brandx_India E-Commerce Hub,Nan,Clearance,18.2,47,7.3,Changed Mind,4.2,5.0,121,8,4.8,13.4,High,15,81.6,85.9,Competitive,Low,4.0,73.0,1,2022,Q1,Spring
Bx_Delhi_082,Brandx_India Gadget Zone Delhi,Brandx_India,Street Store,Delhi,Metro,Samsung Galaxy S23,Electronics,Smartphones,New Launch,221.0,48.0,81117,68466,3893616.0,15.6,84012,2.61,138,Mid-Range,Brandx_India App,Credit,Brandx_India Direct Import,Nan,Discount,31.6,26,1.0,Damaged,4.6,4.1,300,6,4.0,20.3,High,21,78.4,87.2,Competitive,Low,1.0,146.0,1,2022,Q1,Spring
Bx_Delhi_005,Brandx_India Electronics Delhi,Brandx_India,Express,Delhi,Metro,Airpods Pro,Electronics,Headphones,Growing,211.0,14.0,26813,18877,375382.0,29.6,30142,0.8,452,Budget,Brandx_India App,Card,Brandx_India Local Sourcing,Nan,Clearance,38.5,42,7.8,Damaged,4.3,4.0,37,10,3.6,24.7,High,25,75.2,87.7,Competitive,Low,4.0,244.0,1,2022,Q1,Spring
Bx_Nagpur_094,Brandx_India Fashion Nagpur,Brandx_India,Street Store,Nagpur,Tier2,Levi'S 511 Jeans,Clothes,Jeans,Discontinued,105.0,29.0,4093,2960,118697.0,27.68,5647,3.31,109,Luxury,Brandx_India Social Commerce,Cash,Brandx_India Direct Import,Nan,Festival Offer,24.2,42,1.2,Wrong Size,4.3,4.9,420,10,3.9,10.8,Low,5,72.2,68.3,Standard,Medium,2.0,97.0,1,2022,Q1,Spring
Bx_Bangalore_060,Brandx_India Appliances Bangalore,Brandx_India,Express,Bangalore,Metro,Daikin 1.5 Ton Split,Home Appliances,Air Conditioners,Discontinued,206.0,14.0,38881,31575,544334.0,18.79,47303,0.82,441,Mid-Range,Brandx_India App,Wallet,Brandx_India Local Sourcing,Nan,Flash Sale,38.6,26,6.2,Wrong Size,4.2,4.0,93,6,3.9,17.0,High,22,81.9,84.7,Competitive,Low,3.0,355.0,1,2022,Q1,Spring
Bx_Delhi_086,Brandx_India Style Delhi,Brandx_India,Express,Delhi,Metro,Zara Casual Shirt,Clothes,T-Shirts,Growing,153.0,55.0,2620,2159,144100.0,17.6,3903,4.31,83,Mid-Range,Brandx_India Phone Order,Credit,Brandx_India Local Sourcing,Nan,Discount,38.2,31,1.8,Changed Mind,4.5,5.0,71,6,4.3,16.0,High,22,80.5,86.5,Competitive,Medium,3.0,140.0,1,2022,Q1,Spring
Bx_Bangalore_001,Brandx_India Daily Bangalore,Brandx_India,Mall Store,Bangalore,Metro,Sunflower Oil 1L,Groceries,Oil,Discontinued,57.0,31.0,173,137,5363.0,20.81,193,6.53,55,Mid-Range,Brandx_India Social Commerce,Emi,Brandx_India Brand Partners,Nan,Discount,23.9,25,5.9,Defective,4.4,4.1,87,8,4.7,19.3,Very High,19,82.7,81.6,Aggressive,Low,4.0,82.0,1,2022,Q1,Spring
Bx_Hyderabad_041,Brandx_India Comfort Hyderabad,Brandx_India,Express,Hyderabad,Metro,Samsung Side By Side,Home Appliances,Refrigerators,New Launch,98.0,64.0,76481,60793,4894784.0,20.51,107897,7.84,46,Luxury,Brandx_India Store,Wallet,Brandx_India Local Sourcing,Nan,No Promotion,0.0,0,6.3,Defective,4.5,4.3,272,9,4.1,15.9,Very High,19,78.3,87.1,Aggressive,Low,4.0,533.0,1,2022,Q1,Spring
Bx_Mumbai_038,Brandx_India Style Mumbai,Brandx_India,Mall Store,Mumbai,Metro,Pepe Jeans,Clothes,Jeans,New Launch,189.0,33.0,3537,2589,116721.0,26.8,4571,2.1,172,Premium,Brandx_India Phone Order,Card,Brandx_India Wholesale,Nan,Flash Sale,29.1,19,1.6,Poor Quality,4.2,4.2,235,4,4.8,11.3,High,20,97.0,83.3,Competitive,Medium,1.0,73.0,1,2022,Q1,Spring
Bx_Delhi_065,Brandx_India Digital Delhi,Brandx_India,Online Hub,Delhi,Metro,Samsung Tab S8,Electronics,Tablets,Growing,201.0,47.0,48173,39323,2264131.0,18.37,56608,2.81,128,Mid-Range,Brandx_India Online,Credit,Brandx_India Direct Import,Nan,Festival Offer,26.0,8,6.8,Wrong Size,4.6,4.4,344,3,4.6,24.9,Very High,16,85.0,84.4,Aggressive,Low,2.0,114.0,1,2022,Q1,Spring
Bx_Mumbai_088,Brandx_India Express Mumbai,Brandx_India,Flagship,Mumbai,Metro,Basmati Rice 5Kg,Groceries,Rice,Growing,142.0,88.0,659,529,57992.0,19.73,853,7.44,48,Luxury,Brandx_India Store,Credit,Brandx_India Brand Partners,Nan,No Promotion,0.0,0,7.6,Poor Quality,4.3,3.9,341,3,4.5,19.5,Very High,20,80.1,86.3,Aggressive,Low,6.0,143.0,1,2022,Q1,Spring
Bx_Mumbai_022,Brandx_India Trends Mumbai,Brandx_India,Online Hub,Mumbai,Metro,Adidas Ultraboost,Clothes,Shoes,Mature,90.0,53.0,10474,7560,555122.0,27.82,15441,7.07,51,Luxury,Brandx_India App,Credit,Brandx_India Brand Partners,Nan,Festival Offer,11.0,46,0.9,Wrong Size,4.4,4.8,193,3,4.7,12.1,High,15,79.2,86.7,Competitive,Medium,2.0,57.0,1,2022,Q1,Spring
Bx_Pune_051,Brandx_India Fashion Pune,Brandx_India,Flagship,Pune,Tier1,Nike Air Max,Clothes,Shoes,Discontinued,135.0,16.0,9414,7550,150624.0,19.8,13856,1.42,253,Premium,Brandx_India Phone Order,Wallet,Brandx_India Wholesale,Nan,Flash Sale,28.6,43,4.0,Defective,4.6,4.9,242,8,3.9,13.6,High,10,84.4,78.5,Competitive,Medium,3.0,121.0,1,2022,Q1,Spring
Bx_Delhi_061,Brandx_India Home Delhi,Brandx_India,Flagship,Delhi,Metro,Ifb 7Kg Front Load,Home Appliances,Washing Machines,Declining,213.0,33.0,37950,31406,1252350.0,17.24,52787,1.86,194,Luxury,Brandx_India Social Commerce,Wallet,Brandx_India Direct Import,Nan,Discount,25.2,45,3.8,Defective,3.8,4.9,347,3,4.5,18.1,Very High,21,80.7,89.6,Aggressive,Low,7.0,665.0,1,2022,Q1,Spring
Bx_Chennai_078,Brandx_India Mobile Chennai,Brandx_India,Mall Store,Chennai,Metro,Nike Air Max,Gadgets,Bluetooth Speakers,Declining,80.0,60.0,8851,6873,531060.0,22.35,10886,9.0,40,Premium,Brandx_India Online,Emi,Brandx_India Wholesale,Nan,Festival Offer,11.3,12,2.3,Defective,4.4,4.3,477,8,4.2,15.6,High,17,95.0,84.2,Competitive,Low,7.0,126.0,1,2022,Q1,Spring
Bx_Mumbai_019,Brandx_India Mobile Mumbai,Brandx_India,Flagship,Mumbai,Metro,Sony Alpha A7 Iv,Gadgets,Cameras,Mature,72.0,48.0,292889,242418,14058672.0,17.23,326761,8.0,45,Premium,Brandx_India Store,Wallet,Brandx_India E-Commerce Hub,Nan,Discount,39.3,41,5.3,Defective,4.6,4.3,300,5,4.1,15.5,Very High,19,90.9,86.4,Aggressive,Low,4.0,131.0,1,2022,Q1,Spring
Bx_Hyderabad_044,Brandx_India Fashion Hyderabad,Brandx_India,Flagship,Delhi,Metro,Forever 21 Dress,Clothes,Dresses,Discontinued,216.0,46.0,1705,1254,78430.0,26.45,1761,2.56,141,Budget,Brandx_India Phone Order,Credit,Brandx_India E-Commerce Hub,Nan,Clearance,16.9,13,0.9,Poor Quality,4.4,3.8,247,1,4.2,13.1,Very High,17,84.2,87.3,Aggressive,Medium,1.0,141.0,1,2022,Q1,Spring
Bx_Bhopal_055,Brandx_India Gadget Zone Bhopal,Brandx_India,Street Store,Bhopal,Tier2,Oneplus 11,Electronics,Smartphones,Declining,188.0,43.0,53825,43655,2314475.0,18.89,69803,2.74,131,Luxury,Brandx_India Online,Card,Brandx_India Direct Import,Nan,Flash Sale,25.5,47,0.9,Wrong Size,4.5,4.0,135,4,4.1,7.0,Medium,6,69.2,69.7,Standard,Low,5.0,209.0,1,2022,Q1,Spring
Bx_Visakhapatnam_032,Brandx_India Superstore Visakhapatnam,Brandx_India,Street Store,Visakhapatnam,Tier2,Green Tea 100G,Groceries,Tea,Discontinued,133.0,81.0,242,190,19602.0,21.49,358,7.31,49,Premium,Brandx_India Store,Upi,Brandx_India Local Sourcing,Nan,No Promotion,0.0,0,1.6,Poor Quality,4.1,4.8,78,8,4.5,12.9,Low,8,87.4,62.9,Standard,Low,5.0,84.0,1,2022,Q1,Spring
Bx_Mumbai_020,Brandx_India Tech Hub Mumbai,Brandx_India,Flagship,Mumbai,Metro,Sony Bravia 43Inch,Electronics,Smart Tvs,Growing,99.0,53.0,74001,62262,3922053.0,15.86,82001,6.42,56,Budget,Brandx_India Online,Card,Brandx_India Brand Partners,Nan,No Promotion,0.0,0,1.3,Poor Quality,4.3,4.4,402,9,4.8,26.3,High,16,78.8,89.3,Competitive,Low,4.0,209.0,1,2022,Q1,Spring
Bx_Surat_062,Brandx_India Electronics Surat,Brandx_India,Mall Store,Surat,Tier2,Lg Oled 55Inch,Electronics,Smart Tvs,New Launch,209.0,43.0,73554,56180,3162822.0,23.62,84803,2.47,146,Mid-Range,Brandx_India Phone Order,Upi,Brandx_India Local Sourcing,Nan,No Promotion,0.0,0,6.9,Defective,4.0,4.9,254,3,4.8,8.0,Low,5,69.5,67.5,Standard,Low,5.0,133.0,1,2022,Q1,Spring
Bx_Jaipur_050,Brandx_India Mobile Jaipur,Brandx_India,Online Hub,Jaipur,Tier2,Anker Powercore,Gadgets,Power Banks,Declining,95.0,26.0,3053,2522,79378.0,17.39,4105,3.28,110,Mid-Range,Brandx_India Social Commerce,Wallet,Brandx_India Local Sourcing,Nan,Festival Offer,38.1,21,1.9,Defective,4.0,3.8,127,4,4.0,4.1,Medium,8,70.7,62.7,Standard,Low,5.0,129.0,1,2022,Q1,Spring
Bx_Mumbai_042,Brandx_India Trends Mumbai,Brandx_India,Mall Store,Mumbai,Metro,Nike Jacket,Clothes,Jackets,Declining,159.0,23.0,7908,5659,181884.0,28.44,10623,1.74,207,Luxury,Brandx_India Store,Card,Brandx_India Direct Import,Nan,Flash Sale,38.5,26,0.6,Wrong Size,4.2,4.0,92,4,4.5,16.1,Very High,18,75.4,87.5,Aggressive,Medium,5.0,59.0,1,2022,Q1,Spring
Bx_Mumbai_064,Brandx_India Digital Mumbai,Brandx_India,Express,Mumbai,Metro,Oneplus 11,Electronics,Smartphones,New Launch,135.0,59.0,54831,44805,3235029.0,18.29,76786,5.24,69,Premium,Brandx_India Online,Card,Brandx_India Brand Partners,Nan,No Promotion,0.0,0,1.1,Damaged,4.8,4.0,15,6,4.3,26.2,Very High,20,92.6,89.4,Aggressive,Low,6.0,154.0,1,2022,Q1,Spring
Bx_Ahmedabad_027,Brandx_India Daily Ahmedabad,Brandx_India,Flagship,Ahmedabad,Tier1,Moong Dal 1Kg,Groceries,Dal,Growing,273.0,97.0,167,140,16199.0,16.17,193,4.26,84,Premium,Brandx_India Phone Order,Wallet,Brandx_India E-Commerce Hub,Nan,No Promotion,0.0,0,5.3,Poor Quality,4.3,4.8,475,8,4.6,17.6,Medium,12,88.6,80.1,Standard,Low,7.0,117.0,1,2022,Q1,Spring
Bx_Bangalore_034,Brandx_India Electronics Bangalore,Brandx_India,Flagship,Bangalore,Metro,Samsung Tab S8,Electronics,Tablets,Growing,66.0,14.0,51278,38443,350176.0,25.03,63235,2.55,141,Mid-Range,Brandx_India Store,Cash,Brandx_India Direct Import,Nan,No Promotion,0.0,0,2.7,Wrong Size,4.7,4.7,345,7,4.2,25.5,High,23,84.3,81.9,Competitive,Low,6.0,145.0,1,2022,Q1,Spring
Bx_Mumbai_092,Brandx_India Accessories Mumbai,Brandx_India,Flagship,Mumbai,Metro,Canon Eos R6,Gadgets,Cameras,New Launch,19.0,8.0,207099,158076,1656792.0,23.67,208288,5.05,71,Mid-Range,Brandx_India Social Commerce,Wallet,Brandx_India Wholesale,Nan,Discount,24.1,12,3.9,Wrong Size,4.0,4.3,175,10,4.2,16.9,Very High,25,84.1,87.4,Aggressive,Low,3.0,123.0,1,2022,Q1,Spring
Bx_Delhi_027,Brandx_India Fashion Delhi,Brandx_India,Mall Store,Delhi,Metro,H&M Cotton Tee,Clothes,T-Shirts,New Launch,56.0,12.0,1015,829,12180.0,18.33,1386,2.57,140,Mid-Range,Brandx_India Online,Credit,Brandx_India Local Sourcing,Nan,Bogo,18.5,33,7.6,Changed Mind,4.6,5.0,288,4,4.0,14.5,Very High,24,78.6,88.2,Aggressive,Medium,6.0,113.0,1,2022,Q1,Spring
Bx_Mumbai_068,Brandx_India Electronics Mumbai,Brandx_India,Flagship,Mumbai,Metro,Samsung Galaxy S23,Electronics,Smartphones,Declining,231.0,35.0,66044,54736,2311540.0,17.12,72241,1.82,198,Budget,Brandx_India Store,Credit,Brandx_India Direct Import,Nan,No Promotion,0.0,0,2.5,Damaged,4.2,4.2,244,3,4.2,22.6,High,19,79.2,87.6,Competitive,Low,2.0,277.0,1,2022,Q1,Spring
Bx_Mumbai_097,Brandx_India Connect Mumbai,Brandx_India,Flagship,Mumbai,Metro,Mi Power Bank,Gadgets,Power Banks,Declining,208.0,46.0,2985,2397,137310.0,19.7,3679,2.65,136,Budget,Brandx_India Social Commerce,Credit,Brandx_India E-Commerce Hub,Nan,No Promotion,0.0,0,2.3,Wrong Size,4.3,4.6,98,4,4.0,12.8,Very High,24,75.4,89.4,Aggressive,Low,3.0,50.0,1,2022,Q1,Spring
Bx_Bangalore_078,Brandx_India Fashion Bangalore,Brandx_India,Street Store,Bangalore,Metro,Nike Air Max,Clothes,Shoes,Discontinued,112.0,31.0,11466,9163,355446.0,20.09,12447,3.32,108,Mid-Range,Brandx_India Store,Emi,Brandx_India Brand Partners,Nan,Discount,39.5,38,3.7,Poor Quality,4.5,3.9,169,5,4.2,13.8,High,19,78.7,88.2,Competitive,Medium,7.0,62.0,1,2022,Q1,Spring
Bx_Bangalore_036,Brandx_India Style Bangalore,Brandx_India,Online Hub,Bangalore,Metro,Nike Air Max,Clothes,Shoes,Mature,71.0,38.0,11927,8860,453226.0,25.71,15250,6.42,56,Mid-Range,Brandx_India Social Commerce,Card,Brandx_India Wholesale,Nan,Flash Sale,24.8,17,4.7,Wrong Size,4.1,4.2,33,2,4.0,11.5,Very High,19,76.4,88.1,Aggressive,Medium,7.0,90.0,1,2022,Q1,Spring
Bx_Bangalore_049,Brandx_India Fashion Bangalore,Brandx_India,Express,Bangalore,Metro,H&M Cotton Tee,Clothes,T-Shirts,New Launch,87.0,46.0,1269,888,58374.0,30.02,1793,6.34,57,Premium,Brandx_India Phone Order,Wallet,Brandx_India Local Sourcing,Nan,Bogo,10.1,46,6.1,Defective,3.8,3.9,422,5,4.3,13.3,High,15,95.1,83.5,Competitive,Medium,2.0,115.0,1,2022,Q1,Spring
Bx_Delhi_050,Brandx_India Fashion Delhi,Brandx_India,Street Store,Delhi,Metro,H&M Cotton Tee,Clothes,T-Shirts,Discontinued,41.0,21.0,1059,768,22239.0,27.48,1123,6.15,59,Budget,Brandx_India App,Card,Brandx_India Brand Partners,Nan,Clearance,36.2,22,5.9,Damaged,4.0,4.5,321,10,3.9,16.7,Very High,18,76.9,81.5,Aggressive,Medium,7.0,142.0,1,2022,Q1,Spring
Bx_Mumbai_004,Brandx_India Daily Mumbai,Brandx_India,Street Store,Mumbai,Metro,Tata Tea Premium,Groceries,Tea,Declining,173.0,60.0,342,265,20520.0,22.51,441,4.16,87,Budget,Brandx_India Store,Upi,Brandx_India E-Commerce Hub,Nan,Clearance,30.7,31,3.0,Changed Mind,4.2,4.6,329,7,3.8,12.4,Very High,25,77.4,87.9,Aggressive,Low,6.0,120.0,1,2022,Q1,Spring
Bx_Surat_074,Brandx_India Connect Surat,Brandx_India,Flagship,Surat,Tier2,Apple Watch Series 8,Gadgets,Smart Watches,Discontinued,199.0,25.0,43043,34316,1076075.0,20.28,59268,1.51,239,Mid-Range,Brandx_India Phone Order,Cash,Brandx_India Wholesale,Nan,Clearance,19.0,44,2.1,Damaged,4.2,4.9,447,2,4.1,10.1,Low,3,71.8,65.4,Standard,Low,5.0,129.0,1,2022,Q1,Spring
Bx_Surat_026,Brandx_India Tech Hub Surat,Brandx_India,Mall Store,Surat,Tier2,Iphone 14,Electronics,Smartphones,New Launch,163.0,37.0,75294,63412,2785878.0,15.78,112751,2.72,132,Premium,Brandx_India Phone Order,Emi,Brandx_India Local Sourcing,Nan,Festival Offer,24.4,26,3.0,Defective,3.9,4.0,439,2,4.4,10.1,Medium,8,84.8,69.9,Standard,Low,5.0,163.0,1,2022,Q1,Spring
Bx_Chennai_064,Brandx_India Appliances Chennai,Brandx_India,Street Store,Chennai,Metro,Aquaguard Crystal,Home Appliances,Water Purifiers,Growing,121.0,40.0,19071,13491,762840.0,29.26,19245,3.97,91,Luxury,Brandx_India Social Commerce,Cash,Brandx_India Brand Partners,Nan,Festival Offer,19.0,22,7.0,Changed Mind,4.5,4.9,377,5,4.8,11.3,High,16,78.3,86.2,Competitive,Low,6.0,658.0,1,2022,Q1,Spring
Bx_Jaipur_056,Brandx_India Digital Jaipur,Brandx_India,Street Store,Jaipur,Tier2,Oneplus 11,Electronics,Smartphones,Growing,84.0,37.0,53870,43625,1993190.0,19.02,62546,5.29,68,Budget,Brandx_India Phone Order,Emi,Brandx_India Brand Partners,Nan,Clearance,25.3,14,0.4,Changed Mind,4.0,4.0,481,6,4.6,4.0,Medium,5,75.4,69.6,Standard,Low,6.0,195.0,1,2022,Q1,Spring
Bx_Kanpur_045,Brandx_India Tech Hub Kanpur,Brandx_India,Flagship,Kanpur,Tier2,Ipad Pro,Electronics,Tablets,Mature,86.0,46.0,61974,50927,2850804.0,17.83,68132,6.42,56,Mid-Range,Brandx_India Social Commerce,Emi,Brandx_India E-Commerce Hub,Nan,Festival Offer,25.3,12,1.9,Damaged,4.3,3.9,242,6,4.4,8.6,Medium,8,74.7,67.6,Standard,Low,1.0,276.0,1,2022,Q1,Spring
Bx_Delhi_075,Brandx_India Style Delhi,Brandx_India,Online Hub,Delhi,Metro,Nike Air Max,Clothes,Shoes,New Launch,188.0,49.0,14479,12017,709471.0,17.0,19570,3.13,115,Budget,Brandx_India Social Commerce,Upi,Brandx_India Wholesale,Nan,Festival Offer,31.3,14,5.5,Defective,3.9,3.9,344,3,4.4,16.3,High,23,76.1,84.4,Competitive,Medium,4.0,65.0,1,2022,Q1,Spring
Bx_Mumbai_063,Brandx_India Express Mumbai,Brandx_India,Online Hub,Mumbai,Metro,Brown Sugar 500G,Groceries,Sugar,Declining,248.0,113.0,114,97,12882.0,14.91,164,5.47,66,Budget,Brandx_India Store,Emi,Brandx_India Direct Import,Nan,Bogo,39.1,11,0.5,Changed Mind,4.0,4.2,83,2,4.7,20.0,Very High,15,79.5,89.6,Aggressive,Low,1.0,123.0,1,2022,Q1,Spring
Bx_Delhi_064,Brandx_India Comfort Delhi,Brandx_India,Mall Store,Delhi,Metro,Bosch 6Kg Top Load,Home Appliances,Washing Machines,New Launch,72.0,53.0,22052,16872,1168756.0,23.49,32764,8.83,41,Budget,Brandx_India Online,Upi,Brandx_India Direct Import,Nan,Bogo,32.7,14,6.4,Damaged,3.9,4.1,365,10,4.4,15.4,High,25,84.9,89.0,Competitive,Low,2.0,123.0,1,2022,Q1,Spring
Bx_Mumbai_012,Brandx_India Digital Mumbai,Brandx_India,Online Hub,Mumbai,Metro,Iphone 14,Electronics,Smartphones,Growing,211.0,56.0,92403,77249,5174568.0,16.4,134900,3.18,113,Mid-Range,Brandx_India Social Commerce,Credit,Brandx_India Local Sourcing,Nan,Bogo,25.1,31,5.4,Wrong Size,4.8,4.5,243,1,3.8,20.6,Very High,24,77.2,87.8,Aggressive,Low,1.0,243.0,1,2022,Q1,Spring
Bx_Mumbai_027,Brandx_India Style Mumbai,Brandx_India,Mall Store,Mumbai,Metro,Zara Evening Dress,Clothes,Dresses,Growing,225.0,64.0,3974,3116,254336.0,21.59,4205,3.41,105,Budget,Brandx_India Social Commerce,Cash,Brandx_India Wholesale,Nan,Flash Sale,21.7,43,1.4,Wrong Size,4.3,4.8,381,8,3.8,10.0,High,16,78.0,82.5,Competitive,Medium,1.0,85.0,1,2022,Q1,Spring
Bx_Mumbai_066,Brandx_India Apparel Mumbai,Brandx_India,Street Store,Mumbai,Metro,Levi'S 511 Jeans,Clothes,Jeans,Growing,198.0,8.0,4370,3216,34960.0,26.41,4392,0.48,743,Mid-Range,Brandx_India Online,Card,Brandx_India Wholesale,Nan,Bogo,28.7,34,3.6,Defective,4.2,4.4,298,9,3.6,19.2,Very High,17,75.4,84.9,Aggressive,Medium,4.0,133.0,1,2022,Q1,Spring
Bx_Mumbai_098,Brandx_India Style Mumbai,Brandx_India,Express,Mumbai,Metro,H&M Cotton Tee,Clothes,T-Shirts,Mature,106.0,9.0,1103,916,9927.0,16.95,1299,1.02,353,Luxury,Brandx_India App,Emi,Brandx_India Local Sourcing,Nan,Clearance,28.9,46,6.7,Defective,4.3,4.0,382,10,4.4,11.4,Very High,15,79.5,86.3,Aggressive,Medium,6.0,108.0,1,2022,Q1,Spring
